case,rep,mode,threads,schedule,chunk,collapse,nx,ny,steps,nu,dt,init,u0,stable,elapsed,speedup,efficiency,initial_min,initial_max,initial_l2,initial_sum,final_min,final_max,final_l2,final_sum
omp,2,omp,2,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.579767074,1.4919504138656896,0.7459752069328448,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.60455815,1.4307701020985326,0.7153850510492663,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.790572962,1.094122576380243,0.5470612881901215,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.816886055,1.058879290086547,0.5294396450432735,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.826505879,1.0465548376335263,0.5232774188167632,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.132590859,0.7637212671517773,0.3818606335758887,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.175369294,0.7359250666284634,0.3679625333142317,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,2,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.139334819,0.7592006419668632,0.3796003209834316,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,2,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.420859785,0.6087748665502557,0.30438743327512785,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,2,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.465585557,0.590196677272523,0.2950983386362615,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
